,BYND.O,GTLB.O,MCD,LEVI.K,PLTR.K,TSLA.O,XOM
,BID,BID,BID,BID,BID,BID,BID
Timestamp,,,,,,,
2022-04-18 23:30:00+00:00,40.81,50.75,251.72,,12.22,1013.02,88.7
2022-04-18 23:00:00+00:00,40.81,,251.17,,12.19,1009.6,88.65
2022-04-18 22:30:00+00:00,40.87,50.75,251.16,18.8,12.22,1009.1,88.63
2022-04-18 22:00:00+00:00,40.81,,,18.8,12.21,1008.75,88.58
2022-04-18 21:30:00+00:00,40.81,,251.14,,12.16,1008.35,88.65
2022-04-18 21:00:00+00:00,40.85,50.75,251.14,,12.15,1006.5,88.56
2022-04-18 20:30:00+00:00,40.77,,251.12,18.8,12.15,1006.63,88.56
2022-04-18 20:00:00+00:00,40.71,50.7,251.11,18.75,12.16,1008.5,88.57
2022-04-18 19:30:00+00:00,40.82,50.5,251.11,18.79,12.14,1004.3,88.55
2022-04-18 19:00:00+00:00,40.33,50.64,250.39,18.78,12.11,1005.14,88.26
2022-04-18 18:30:00+00:00,40.91,50.91,250.9,18.85,12.15,1009.05,88.52
2022-04-18 18:00:00+00:00,40.93,51.82,251.25,18.89,12.2,1013.02,88.52
2022-04-18 17:30:00+00:00,40.96,50.7,251.46,18.92,12.15,1005.73,88.6
2022-04-18 17:00:00+00:00,40.72,49.77,250.84,18.9,12.02,994.41,88.68
2022-04-18 16:30:00+00:00,40.5,49.99,250.66,18.88,11.92,988.13,88.72
2022-04-18 16:00:00+00:00,40.64,49.56,250.55,18.82,11.89,987.82,88.64
2022-04-18 15:30:00+00:00,41.35,50.12,250.33,18.98,12.0,999.06,88.09
2022-04-18 15:00:00+00:00,41.39,50.83,250.63,18.85,12.1,997.7,88.12
2022-04-18 14:30:00+00:00,41.45,50.3,251.08,18.94,12.14,1003.23,88.11
2022-04-18 14:00:00+00:00,41.89,51.25,250.67,18.89,12.2,1004.21,88.27
2022-04-18 13:30:00+00:00,41.53,51.32,250.84,18.87,12.13,977.49,88.63
2022-04-18 13:00:00+00:00,42.64,49.16,248.15,19.05,12.29,989.0,88.21
2022-04-18 12:30:00+00:00,42.61,50.0,249.04,18.76,12.33,985.37,88.29
2022-04-18 12:00:00+00:00,42.61,49.5,248.53,18.76,12.31,988.5,88.28
2022-04-18 11:30:00+00:00,43.0,,248.53,,12.35,990.4,88.19
2022-04-18 11:00:00+00:00,43.0,49.5,248.76,18.92,12.39,993.25,88.22
2022-04-18 10:30:00+00:00,42.1,,,18.4,12.3,988.5,88.0
2022-04-18 10:00:00+00:00,42.1,,246.34,,12.26,990.6,88.0
2022-04-18 09:30:00+00:00,42.1,,246.34,,12.21,990.3,87.84
2022-04-18 09:00:00+00:00,42.09,,,,12.33,988.5,87.4
2022-04-18 08:30:00+00:00,,45.2,,18.4,12.36,990.0,87.4
2022-04-18 08:00:00+00:00,42.09,45.2,246.34,18.4,12.36,991.39,87.5
2022-04-15 00:00:00+00:00,,,,18.4,12.4,,88.01
2022-04-14 23:30:00+00:00,43.03,49.75,250.42,,12.41,989.45,88.01
2022-04-14 23:00:00+00:00,43.06,,,,12.41,986.0,88.1
2022-04-14 22:30:00+00:00,43.06,,250.42,,12.41,985.31,88.1
2022-04-14 22:00:00+00:00,43.06,,,18.92,12.41,985.26,87.93
2022-04-14 21:30:00+00:00,43.06,,,18.85,12.41,985.3,87.85
2022-04-14 21:00:00+00:00,43.06,,,18.85,12.41,985.5,87.85
2022-04-14 20:30:00+00:00,43.06,,250.42,,12.42,984.83,87.75
2022-04-14 20:00:00+00:00,43.03,49.75,250.42,18.85,12.44,984.9,87.75
2022-04-14 19:30:00+00:00,43.06,50.45,250.56,19.13,12.42,984.96,87.79
2022-04-14 19:00:00+00:00,43.18,50.25,250.9,19.29,12.45,991.06,88.15
2022-04-14 18:30:00+00:00,43.07,50.24,251.3,19.14,12.45,987.41,88.18
2022-04-14 18:00:00+00:00,43.11,49.93,252.24,19.13,12.52,992.3,88.35
2022-04-14 17:30:00+00:00,43.08,49.93,252.74,19.15,12.53,995.41,88.17
2022-04-14 17:00:00+00:00,42.94,49.41,252.31,19.13,12.47,985.03,87.96
2022-04-14 16:30:00+00:00,43.15,49.45,252.38,19.12,12.47,984.44,87.69
2022-04-14 16:00:00+00:00,43.0,49.55,252.28,19.12,12.47,984.91,87.65
2022-04-14 15:30:00+00:00,43.38,49.58,252.88,19.14,12.46,987.76,87.26
2022-04-14 15:00:00+00:00,43.44,49.53,252.46,19.21,12.54,991.15,87.23
2022-04-14 14:30:00+00:00,43.25,49.71,252.33,18.99,12.56,985.33,87.14
2022-04-14 14:00:00+00:00,43.97,49.3,252.17,19.05,12.72,991.0,87.17
2022-04-14 13:30:00+00:00,43.83,49.81,253.18,18.99,12.76,994.85,87.38
2022-04-14 13:00:00+00:00,44.22,50.0,250.5,19.07,12.85,998.54,86.62
2022-04-14 12:30:00+00:00,44.45,50.7,250.04,18.9,12.85,1000.2,86.2
2022-04-14 12:00:00+00:00,45.0,50.7,250.05,18.76,12.89,1004.04,86.35
2022-04-14 11:30:00+00:00,44.45,50.0,250.04,18.75,12.85,998.0,86.3
2022-04-14 11:00:00+00:00,45.0,49.5,250.13,18.75,12.95,1007.03,86.26
2022-04-14 10:30:00+00:00,45.0,,235.33,,12.95,1005.7,86.05
2022-04-14 10:00:00+00:00,44.45,,,,12.9,1007.37,86.01
2022-04-14 09:30:00+00:00,45.0,,,,12.9,1025.73,86.01
2022-04-14 09:00:00+00:00,,,,,12.91,1024.5,86.4
2022-04-14 08:30:00+00:00,44.45,45.2,,,12.91,1025.07,86.01
2022-04-14 08:00:00+00:00,44.0,45.2,235.33,18.4,12.91,1025.0,86.01
2022-04-14 00:00:00+00:00,,,,19.01,12.85,,86.61
2022-04-13 23:30:00+00:00,44.82,50.87,251.1,,12.9,1022.0,86.65
2022-04-13 23:00:00+00:00,44.82,,251.1,,12.9,1022.5,86.65
2022-04-13 22:30:00+00:00,44.82,,,19.01,12.9,1022.0,86.61
2022-04-13 22:00:00+00:00,44.56,50.87,,19.01,12.9,1019.31,86.65
2022-04-13 21:30:00+00:00,44.56,,251.1,,12.86,1019.0,86.76
2022-04-13 21:00:00+00:00,44.56,,250.81,,12.87,1020.31,86.76
2022-04-13 20:30:00+00:00,44.56,,250.8,,12.86,1019.5,86.74
2022-04-13 20:00:00+00:00,44.53,50.63,249.37,19.0,12.86,1021.5,86.8
2022-04-13 19:30:00+00:00,45.0,50.86,251.41,19.07,12.9,1022.68,86.82
2022-04-13 19:00:00+00:00,44.74,50.43,251.07,19.13,12.9,1023.48,86.8
2022-04-13 18:30:00+00:00,44.79,50.37,250.88,19.08,12.85,1018.11,86.59
2022-04-13 18:00:00+00:00,44.85,50.2,250.72,19.06,12.86,1016.12,86.53
2022-04-13 17:30:00+00:00,44.47,49.48,251.32,19.18,12.82,1014.03,86.55
2022-04-13 17:00:00+00:00,44.78,50.29,250.96,19.21,12.87,1014.77,86.75
2022-04-13 16:30:00+00:00,44.78,49.96,250.63,19.16,12.9,1016.33,86.4
2022-04-13 16:00:00+00:00,44.71,49.69,250.18,19.14,12.88,1007.52,86.33
2022-04-13 15:30:00+00:00,44.96,49.43,249.54,19.12,12.85,1006.86,86.3
2022-04-13 15:00:00+00:00,45.23,49.38,250.02,19.17,12.86,1006.29,86.29
2022-04-13 14:30:00+00:00,44.76,48.4,250.17,19.05,12.73,993.85,86.03
2022-04-13 14:00:00+00:00,44.59,48.77,249.58,18.95,12.71,993.03,85.42
2022-04-13 13:30:00+00:00,44.34,49.71,250.19,18.88,12.64,986.49,86.03
2022-04-13 13:00:00+00:00,43.46,45.48,248.77,18.75,12.36,981.37,86.4
2022-04-13 12:30:00+00:00,43.66,,248.25,18.75,12.48,981.5,86.82
2022-04-13 12:00:00+00:00,43.66,47.05,248.25,18.7,12.48,986.0,86.2
2022-04-13 11:30:00+00:00,43.87,,248.25,,12.52,991.25,86.31
2022-04-13 11:00:00+00:00,43.8,47.05,249.13,18.5,12.61,997.26,86.74
2022-04-13 10:30:00+00:00,43.21,,245.58,,12.55,993.69,86.53
2022-04-13 10:00:00+00:00,43.01,,245.58,,12.51,989.86,86.64
2022-04-13 09:30:00+00:00,43.21,,248.0,,12.51,988.31,85.31
2022-04-13 09:00:00+00:00,43.21,45.2,,,12.62,993.5,85.31
2022-04-13 08:30:00+00:00,43.21,,,,12.61,994.5,85.31
2022-04-13 08:00:00+00:00,43.0,45.2,248.0,18.4,12.6,997.5,85.3
2022-04-13 00:00:00+00:00,,,,18.76,12.44,,
2022-04-12 23:30:00+00:00,43.67,46.91,249.17,18.77,12.46,991.0,85.93
2022-04-12 23:00:00+00:00,43.67,46.91,249.17,18.75,12.45,990.1,85.92
2022-04-12 22:30:00+00:00,43.67,,,,12.41,988.14,86.0
2022-04-12 22:00:00+00:00,43.67,,249.17,,12.43,987.0,85.9
2022-04-12 21:30:00+00:00,43.58,46.91,,18.76,12.46,986.51,85.72
2022-04-12 21:00:00+00:00,43.24,46.9,249.17,,12.43,985.81,85.73
2022-04-12 20:30:00+00:00,43.23,46.9,249.17,18.76,12.43,985.1,85.8
2022-04-12 20:00:00+00:00,43.22,46.9,249.17,18.75,12.44,987.39,85.66
2022-04-12 19:30:00+00:00,43.59,47.03,249.16,18.75,12.46,986.7,85.59
2022-04-12 19:00:00+00:00,43.56,47.35,249.02,18.75,12.44,978.36,85.44
2022-04-12 18:30:00+00:00,43.31,46.9,250.2,18.85,12.52,983.33,85.87
2022-04-12 18:00:00+00:00,43.01,46.91,249.96,18.78,12.53,983.1,85.96
2022-04-12 17:30:00+00:00,43.47,47.61,250.13,18.9,12.66,990.38,86.01
2022-04-12 17:00:00+00:00,43.89,48.01,250.73,19.1,12.71,998.5,86.59
2022-04-12 16:30:00+00:00,44.27,47.93,251.32,19.08,12.79,997.74,86.64
2022-04-12 16:00:00+00:00,44.0,48.02,251.21,19.08,12.77,992.75,86.53
2022-04-12 15:30:00+00:00,44.34,48.85,251.74,19.24,12.85,998.31,86.55
2022-04-12 15:00:00+00:00,44.71,49.34,252.09,19.06,12.88,1000.45,86.5
2022-04-12 14:30:00+00:00,44.2,48.69,250.89,19.04,12.85,996.92,86.26
