,versionCreated,text,storyId,sourceCode
2022-04-15 00:45:20.000,2022-04-15 00:45:20+00:00,Beyond Meat Inc. - Comunicado ao Mercado,urn:newsml:reuters.com:20220415:nNDLbtSmBz:1,NS:PUBT
2022-04-14 22:20:18.424,2022-04-14 22:20:18.424000+00:00,"BEYOND MEAT, INC. SEC Filings files Form -- 4",urn:newsml:reuters.com:20220414:nEOL9c9WVb:1,NS:EDG
2022-04-12 16:01:09.694,2022-04-12 22:34:48.261000+00:00,"Refinitiv Newscasts - Trading at Noon:  Stocks climb, Treasury yields slip as U.S. CPI data fails to surprise",urn:newsml:reuters.com:20220412:nRTV27NsxP:4,NS:RTRS
2022-04-12 14:42:09.192,2022-04-12 15:11:32.353000+00:00,"Expands Availability of Beyond Chicken(r) Tenders at over 8,000 New Outlets Nationwide, Including Grocery, Pharmacy and Club Stores",urn:newsml:newsroom:20220412:nVMN0hVpXa:0,NS:CMNW
2022-04-12 14:19:44.000,2022-04-12 14:19:44+00:00,Beyond Meat Inc. - Comunicado ao Mercado,urn:newsml:reuters.com:20220412:nNDL7CcGHp:1,NS:PUBT
2022-04-12 13:21:25.731,2022-04-12 13:21:25.731000+00:00,"Beyond Meat Says It Is Expanding Availability Of Beyond Chicken Tenders To Albertsons, CVS, Sprouts And Whole Foods Market Stores Nationwide",urn:newsml:reuters.com:20220412:nRSD4GkPn9:1,NS:SIGDEV
2022-04-12 12:18:54.000,2022-04-12 13:14:07+00:00,"BRIEF-Beyond Meat Says It Is Expanding Availability Of Beyond Chicken Tenders To Albertsons, CVS, Sprouts And Whole Foods Market Stores Nationwide",urn:newsml:reuters.com:20220412:nB8N2AP0Q2:1,NS:RTRS
2022-04-12 13:06:51.054,2022-04-12 13:06:51.054000+00:00,"BEYOND MEAT, INC. Files Proxy Statement -- DEF 14A",urn:newsml:reuters.com:20220412:nEOL382mhJ:1,NS:EDG
2022-04-12 13:06:43.141,2022-04-12 13:06:43.141000+00:00,"BEYOND MEAT, INC. Files Amended Proxy Statement -- DEFA14A",urn:newsml:reuters.com:20220412:nEOL1QWQLB:1,NS:EDG
2022-04-12 13:00:00.586,2022-04-12 13:00:00.586000+00:00,"Beyond Meat® Expands Availability of Beyond Chicken® Tenders at over 8,000 New Outlets Nationwide, Including Grocery, Pharmacy and Club Stores",urn:newsml:reuters.com:20220412:nGNX1YV5f9:1,NS:GNW
