,versionCreated,text,storyId,sourceCode
2022-04-19 17:07:04.000,2022-04-19 17:07:04+00:00,BUZZ-GitLab rises on software licensing program contract win in California,urn:newsml:reuters.com:20220419:nL3N2WH33A:1,NS:RTRS
2022-04-19 16:33:58.684,2022-04-19 16:33:58.684000+00:00,GITLAB SHARES UP 8.4% AFTER CO GRANTED SOFTWARE LICENSING PROGRAM CONTRACT WITH STATE OF CALIFORNIA,urn:newsml:reuters.com:20220419:nFWN2WH1YH:1,NS:RTRS
2022-04-19 14:37:08.131,2022-04-19 14:41:40.203000+00:00,Granted Software Licensing Program Contract With State of California,urn:newsml:newsroom:20220419:nVMNxm6Qza:0,NS:CMNW
2022-04-19 13:11:08.000,2022-04-19 13:11:08+00:00,BRIEF-GitLab Granted Software Licensing Program Contract With State Of California,urn:newsml:reuters.com:20220419:nFWN2WH208:1,NS:RTRS
2022-04-19 13:03:02.631,2022-04-19 13:03:02.631000+00:00,GITLAB INC. GRANTED SOFTWARE LICENSING PROGRAM CONTRACT WITH STATE OF CALIFORNIA,urn:newsml:reuters.com:20220419:nFWN2WH208:1,NS:RTRS
2022-04-19 13:00:00.500,2022-04-19 13:00:00.500000+00:00,GitLab Inc. Granted Software Licensing Program Contract With State of California,urn:newsml:reuters.com:20220419:nGNX7Lt79Z:1,NS:GNW
2022-04-18 03:06:28.031,2022-04-18 03:06:28.031000+00:00,GITLAB INC <GTLB.O>: RBC RAISES TARGET PRICE TO $64 FROM $60,urn:newsml:reuters.com:20220418:nFWN2WG00G:1,NS:RTRS
2022-04-14 02:17:51.687,2022-04-14 02:17:51.687000+00:00,United States : GitLab Welcomes Ashley Kramer as Chief Marketing And Strategy Officer,urn:newsml:reuters.com:20220414:nNRAkbxl9z:1,NS:ECLPCM
2022-04-14 02:17:22.274,2022-04-14 02:17:22.274000+00:00,United States : GitLab Welcomes Ashley Kramer as Chief Marketing And Strategy Officer,urn:newsml:reuters.com:20220414:nNRAkbxbrl:1,NS:ECLBFI
2022-04-11 13:04:56.635,2022-04-11 13:04:56.635000+00:00,Gitlab Inc. -- SC 13G/A,urn:newsml:reuters.com:20220411:nEOL6LDSg3:1,NS:EDG
2022-04-11 10:10:38.923,2022-04-11 10:10:38.923000+00:00,Gitlab Inc. -- S-8,urn:newsml:reuters.com:20220411:nEOL3bbf3t:1,NS:EDG
2022-04-08 20:56:04.982,2022-04-08 20:56:04.982000+00:00,"Gitlab Inc. Files 10-K for Fiscal Year Ending January 31, 2022 -- 10-K",urn:newsml:reuters.com:20220408:nEOL3lsZtK:1,NS:EDG
2022-04-08 14:06:51.229,2022-04-08 14:06:51.229000+00:00,Gitlab Inc. -- SC 13G/A,urn:newsml:reuters.com:20220408:nEOL3yP1DG:1,NS:EDG
2022-04-05 17:37:18.487,2022-04-05 17:37:18.487000+00:00,Gitlab Inc. -- SC 13G,urn:newsml:reuters.com:20220405:nEOL7VqkH0:1,NS:EDG
2022-04-05 15:23:56.602,2022-04-05 15:23:56.602000+00:00,Gitlab Inc. -- SC 13G/A,urn:newsml:reuters.com:20220405:nEOL6Jnj8b:1,NS:EDG
2022-04-04 23:40:11.059,2022-04-04 23:42:05.757000+00:00,Welcomes Ashley Kramer as Chief Marketing And Strategy Officer,urn:newsml:newsroom:20220404:nVMNrgC85a:0,NS:CMNW
2022-04-04 22:05:00.187,2022-04-04 22:05:00.187000+00:00,GITLAB WELCOMES ASHLEY KRAMER AS CHIEF MARKETING AND STRATEGY OFFICER,urn:newsml:reuters.com:20220404:nASA036I6:1,NS:RTRS
2022-04-04 22:05:00.086,2022-04-04 22:05:00.086000+00:00,GitLab Welcomes Ashley Kramer as Chief Marketing And Strategy Officer,urn:newsml:reuters.com:20220404:nGNXccpKKp:1,NS:GNW
