,versionCreated,text,storyId,sourceCode
2022-04-20 01:28:54.486,2022-04-20 01:28:54.486000+00:00,Levi Strauss & Co. thúc đẩy tăng trưởng bền vững với chiến lược mở rộng đầy tham vọng,urn:newsml:reuters.com:20220420:nPNAcQTzsa:1,NS:PRN
2022-04-13 02:28:12.189,2022-04-13 02:28:12.189000+00:00,"""ลีวาย สเตราส์ แอนด์ โค"" เร่งผลักดันการเติบโตอย่างยั่งยืนด้วยกลยุทธ์การขยายธุรกิจเชิงรุก",urn:newsml:reuters.com:20220413:nPNA5Sx1La:1,NS:PRN
2022-04-12 19:46:15.102,2022-04-12 19:46:15.102000+00:00,Levi Strauss announces plans to accelerate sustainable growth with aggressive expansion strategy,urn:newsml:reuters.com:20220412:nNRAkajtkt:1,NS:DATMTR
2022-04-12 16:36:20.000,2022-04-12 16:36:20+00:00,BUZZ-Lululemon Athletica rises on U.S. launch of resale program,urn:newsml:reuters.com:20220412:nL3N2WA2SK:1,NS:RTRS
2022-04-12 02:15:42.610,2022-04-12 02:15:42.610000+00:00,Levi Strauss & Co. mempercepat pertumbuhan berkelanjutan dengan strategi ekspansi yang agresif,urn:newsml:reuters.com:20220412:nPNAkmP5Ga:1,NS:PRN
2022-04-12 02:14:35.957,2022-04-12 02:14:35.957000+00:00,リーバイスが積極的な拡大戦略で持続的成長を加速,urn:newsml:reuters.com:20220412:nPNARH7Dda:1,NS:PRN
2022-04-11 19:50:20.740,2022-04-11 19:50:20.740000+00:00,NYSE ORDER IMBALANCE <LEVI.N> 51739.0 SHARES ON SELL SIDE,urn:newsml:reuters.com:20220411:nAQN0UE4Y5:1,NS:RTRS
2022-04-11 19:41:36.807,2022-04-11 19:41:36.807000+00:00,"Levi Strauss (LEVI) Speeds Up Strategic Plans, Expands Stores",urn:newsml:reuters.com:20220411:nNRAk831s8:1,NS:ZACKSC
2022-04-11 07:43:43.553,2022-04-11 07:43:43.553000+00:00,LEVI STRAUSS & CO <LEVI.N>: JP MORGAN CUTS TARGET PRICE TO $27 FROM $32,urn:newsml:reuters.com:20220411:nFWN2W90UZ:1,NS:RTRS
2022-04-11 02:00:28.718,2022-04-11 02:00:28.718000+00:00,Levi Strauss & Co. accelerates sustainable growth with aggressive expansion strategy,urn:newsml:reuters.com:20220411:nPreWhYyBa:1,NS:PRN
2022-04-11 02:00:27.374,2022-04-11 02:00:27.374000+00:00,李维斯公司通过积极扩张战略加快可持续增长,urn:newsml:reuters.com:20220411:nPNANnkhya:1,NS:PRN
2022-04-11 02:00:27.154,2022-04-11 02:00:27.154000+00:00,李維斯公司通過積極擴張戰略加快可持續增長,urn:newsml:reuters.com:20220411:nPNAW5nfsa:1,NS:PRN
2022-04-11 02:00:26.495,2022-04-11 02:00:26.495000+00:00,"Levi Strauss & Co., 적극적인 확장 전략으로 지속가능한 성장 가속화",urn:newsml:reuters.com:20220411:nPNAJpjLva:1,NS:PRN
2022-04-11 02:00:26.285,2022-04-11 02:00:26.285000+00:00,Levi Strauss & Co. accelerates sustainable growth with aggressive expansion strategy,urn:newsml:reuters.com:20220411:nPNA6fdkXa:1,NS:PRN
2022-04-08 19:50:06.635,2022-04-08 19:50:06.635000+00:00,NYSE ORDER IMBALANCE <LEVI.N> 52441.0 SHARES ON SELL SIDE,urn:newsml:reuters.com:20220408:nAQN0UD7AJ:1,NS:RTRS
2022-04-08 16:45:22.723,2022-04-08 16:45:22.723000+00:00,Levi's® X Deepika Padukone launch season 2 of their collaboration,urn:newsml:reuters.com:20220408:nNRAk608yp:1,NS:ASNEWS
2022-04-08 03:13:43.730,2022-04-08 03:13:43.730000+00:00,Levi Strauss decides to go it alone in Thailand,urn:newsml:reuters.com:20220408:nNRAk5lk0l:1,NS:BANGPO
2022-04-07 21:03:50.272,2022-04-07 21:03:50.272000+00:00,Levi Strauss' (LEVI) Q1 Earnings and Revenues Beat Mark,urn:newsml:reuters.com:20220407:nNRAk5gyoc:1,NS:ZACKSC
2022-04-07 19:49:09.127,2022-04-07 19:49:09.127000+00:00,Levi Strauss registers 22% net revenue increase for Q1 2022,urn:newsml:reuters.com:20220407:nNRAk5go6g:1,NS:DATMTR
2022-04-07 19:47:00.601,2022-04-07 19:47:00.601000+00:00,Levi Strauss Q1 dulled by Covid surge in Europe,urn:newsml:reuters.com:20220407:nNRAk5gnuo:1,NS:DATMTR
2022-04-07 18:22:28.000,2022-04-07 18:22:28+00:00,"BUZZ-U.S. STOCKS ON THE MOVE-Macy's, Conduent, Pfizer",urn:newsml:reuters.com:20220407:nL3N2W5318:2,NS:RTRS
2022-04-07 16:07:01.219,2022-04-07 17:28:07.025000+00:00,Refinitiv Newscasts - Trading at Noon: Jobless claims fall and bond yields rise on a hawkish Fed outlook,urn:newsml:reuters.com:20220407:nRTV7FvwjB:5,NS:RTRS
2022-04-07 17:00:00.000,2022-04-07 17:00:00+00:00,Levi Strauss & Co at JPMorgan Retail Round-Up (Virtual),urn:newsml:reuters.com:20220407:nTRN3S7k1s:1,NS:TRANS
2022-04-07 16:43:48.000,2022-04-07 16:43:48+00:00,"BUZZ-U.S. STOCKS ON THE MOVE-Netflix, Rite Aid, TotalEnergies SE",urn:newsml:reuters.com:20220407:nL3N2W52UU:2,NS:RTRS
2022-04-07 11:32:02.989,2022-04-07 15:42:27.952000+00:00,"Refinitiv Newscasts - US Morning Call: Stocks ease up, bond yields down as markets digest Fed minutes",urn:newsml:reuters.com:20220407:nRTV2lmnTG:11,NS:RTRS
2022-04-07 14:31:28.000,2022-04-07 14:31:28+00:00,"BUZZ-Street View: Levi's denim story intact, for now",urn:newsml:reuters.com:20220407:nL3N2W52MR:1,NS:RTRS
2022-04-07 13:58:07.000,2022-04-07 13:58:07+00:00,"BOURSE-Wall Street ouvre en baisse, le dossier ukrainien incite à la prudence",urn:newsml:reuters.com:20220407:nL5N2W54OA:2,NS:RTRS
