,versionCreated,text,storyId,sourceCode
2022-04-19 23:08:36.470,2022-04-19 23:08:36.470000+00:00,McDonald's (MCD) Outpaces Stock Market Gains: What You Should Know,urn:newsml:reuters.com:20220419:nNRAkeeomx:1,NS:ZACKSC
2022-04-19 19:50:13.438,2022-04-19 19:50:13.438000+00:00,NYSE ORDER IMBALANCE <MCD.N> 121530.0 SHARES ON BUY SIDE,urn:newsml:reuters.com:20220419:nAQN0UVW01:1,NS:RTRS
2022-04-19 16:45:56.000,2022-04-19 16:45:56+00:00,"BUZZ-U.S. STOCKS ON THE MOVE-Roblox, Netflix, Intuit",urn:newsml:reuters.com:20220419:nL3N2WH2YT:3,NS:RTRS
2022-04-19 15:39:31.000,2022-04-19 15:39:31+00:00,McDonald's Corporation - Comunicado ao Mercado,urn:newsml:reuters.com:20220419:nNDL91wS29:1,NS:PUBT
2022-04-19 14:26:13.806,2022-04-19 14:26:13.806000+00:00,MCDONALDS CORP -- PX14A6G,urn:newsml:reuters.com:20220419:nEOLy8f4v:1,NS:EDG
2022-04-19 10:28:01.803,2022-04-19 13:41:11.434000+00:00,"McHappy Day® is Back Wednesday, May 11 with an Iconic, New Peace Collective Merch Collection, in Support of Ronald McDonald House Charities®",urn:newsml:newsroom:20220419:nCNWfnCKLa:0,NS:CNW
2022-04-19 13:36:04.213,2022-04-19 13:40:46.251000+00:00,"McHappy Day(R) is Back Wednesday, May 11 with an Iconic, New Peace Collective Merch Collection, in Support of Ronald McDonald House Charities(R)",urn:newsml:newsroom:20220419:nVMNPdj9na:0,NS:CMNW
2022-04-19 13:25:21.000,2022-04-19 13:25:21+00:00,"BUZZ-U.S. STOCKS ON THE MOVE-Netgear, Hasbro, McDonald's, Checkmate Pharma",urn:newsml:reuters.com:20220419:nL3N2WH2MU:1,NS:RTRS
2022-04-19 12:27:39.000,2022-04-19 12:27:39+00:00,BUZZ-Cowen sees McDonald's as best positioned QSR ahead of Q1 earnings,urn:newsml:reuters.com:20220419:nL3N2WH2GH:1,NS:RTRS
2022-04-19 10:29:00.069,2022-04-19 10:29:00.069000+00:00,MCDONALD'S <MCD.N>: BTIG CUTS TARGET PRICE TO $280 FROM $295,urn:newsml:reuters.com:20220419:nFWN2WH1BV:1,NS:RTRS
2022-04-19 10:28:01.608,2022-04-19 10:28:04.445000+00:00,Le Grand McDonMD est de retour le mercredi 11 mai avec une nouvelle collection d'articles promotionnels Peace Collective en soutien à l'Œuvre des M...,urn:newsml:newsroom:20220419:nCNWs703Da:0,NS:CNW
2022-04-19 01:31:29.262,2022-04-19 01:31:29.262000+00:00,"Fact check: McDonald's ice cream does not contain xylitol, a substance toxic to dogs McDonald's ice cream doesn't contain xylitol but the sweetener can be toxic for dogs.",urn:newsml:reuters.com:20220419:nNRAkdn6jc:1,NS:USADAY
2022-04-18 16:17:43.000,2022-04-18 16:17:43+00:00,McDonald's Corporation - Comunicado ao Mercado,urn:newsml:reuters.com:20220418:nNDLbfHSq4:1,NS:PUBT
2022-04-18 16:05:59.291,2022-04-18 16:05:59.291000+00:00,Moody's assigns Ba2 rating to Arcos Dorados' proposed sustainability-linked notes,urn:newsml:reuters.com:20220418:nMDY2Ds619:1,NS:MDY
2022-04-18 16:05:59.276,2022-04-18 16:05:59.276000+00:00,MOODY'S ASSIGNS BA2 RATING TO ARCOS DORADOS' PROPOSED SUSTAINABILITY-LINKED NOTES,urn:newsml:reuters.com:20220418:nMDY2Ds619:1,NS:MDY
2022-04-18 15:14:14.436,2022-04-18 15:14:14.436000+00:00,MCDONALDS CORP -- PX14A6G,urn:newsml:reuters.com:20220418:nEOL6rMdlr:1,NS:EDG
2022-04-18 13:16:42.528,2022-04-18 13:16:42.528000+00:00,District police investigating death of woman found shot in Northeast,urn:newsml:reuters.com:20220418:nNRAkd1pa8:1,NS:WASHPO
2022-04-18 10:27:40.000,2022-04-18 10:27:40+00:00,BUZZ-Wendy's falls as BMO downgrades on inflation impact,urn:newsml:reuters.com:20220418:nL3N2WG1PU:1,NS:RTRS
2022-04-17 20:31:35.082,2022-04-17 20:31:35.082000+00:00,District police investigating death of woman found shot in Northeast,urn:newsml:reuters.com:20220417:nNRAkd1pa8:1,NS:WASHPO
2022-04-17 09:12:59.043,2022-04-17 09:12:59.043000+00:00,Deutsche Lebensmittelbranche reagiert auf Mangel an Sonnenblumenöl,urn:newsml:reuters.com:20220417:nApa19QNKa:1,NS:APA
2022-04-14 19:50:00.742,2022-04-14 19:50:00.742000+00:00,NYSE ORDER IMBALANCE <MCD.N> 52306.0 SHARES ON SELL SIDE,urn:newsml:reuters.com:20220414:nAQN0UQW83:1,NS:RTRS
2022-04-14 14:55:00.069,2022-04-14 14:55:00.069000+00:00,Suddath Honored as a McDonald’s Supplier Partner of the Year,urn:newsml:reuters.com:20220414:nGNX5bWSSv:1,NS:GNW
2022-04-14 11:02:44.926,2022-04-14 11:02:44.926000+00:00,NYC mayor announces arrest of Brooklyn shooting suspect Frank James: 'We got him',urn:newsml:reuters.com:20220414:nNRAkc9bkl:1,NS:INDEPE
2022-04-11 12:33:43.802,2022-04-13 19:34:33.214000+00:00,Refinitiv Newscasts - From CTV to DOOH: SpringServe’s Signore On The Synergy Of Signage,urn:newsml:reuters.com:20220411:nRTVTydg:7,NS:BEET
2022-04-13 15:20:17.156,2022-04-13 15:20:17.156000+00:00,Kemarni Watson Darby murder: Toddler holds mother's hand in McDonald's hours before he's beaten to death,urn:newsml:reuters.com:20220413:nNRAkbn667:1,NS:INDEPE
2022-04-13 07:50:44.225,2022-04-13 07:50:44.225000+00:00,麦当劳全新三重芝士安格斯厚牛堡限时上市,urn:newsml:reuters.com:20220413:nPNA5xvNra:1,NS:PRN
2022-04-13 07:20:12.105,2022-04-13 07:21:06.787000+00:00,CRIK: McDonald coaching path lit in playing days,urn:newsml:newsroom:20220413:nNRAkbbl4w:0,NS:AAP
2022-04-13 07:19:41.948,2022-04-13 07:20:40.397000+00:00,McDonald coaching path lit in playing days,urn:newsml:newsroom:20220413:nNRAkbbhxh:0,NS:AAP
