,versionCreated,text,storyId,sourceCode
2022-04-20 02:36:54.122,2022-04-20 02:36:54.122000+00:00,PALANTIR TECHNOLOGIES INC <PLTR.N>: RBC RAISES TO SECTOR PERFORM FROM UNDERPERFORM; RAISES TARGET PRICE TO $12 FROM $9,urn:newsml:reuters.com:20220420:nFWN2WH1NW:1,NS:RTRS
2022-04-19 20:05:00.381,2022-04-19 20:05:00.381000+00:00,Palantir Announces Date of First Quarter 2022 Earnings Release and Webcast,urn:newsml:reuters.com:20220419:nBw5cmX4sa:1,NS:BSW
2022-04-19 19:50:09.133,2022-04-19 19:50:09.133000+00:00,NYSE ORDER IMBALANCE <PLTR.N> 152780.0 SHARES ON SELL SIDE,urn:newsml:reuters.com:20220419:nAQN0UVGFW:1,NS:RTRS
2022-04-18 19:50:07.420,2022-04-18 19:50:07.420000+00:00,NYSE ORDER IMBALANCE <PLTR.N> 827813.0 SHARES ON BUY SIDE,urn:newsml:reuters.com:20220418:nAQN0USFVP:1,NS:RTRS
2022-04-15 17:18:38.000,2022-04-15 17:18:38+00:00,BRIEF-Palantir Expands Longstanding CDC Partnership For Disease Monitoring And Response,urn:newsml:reuters.com:20220415:nFWN2WC1NE:1,NS:RTRS
2022-04-15 10:59:08.805,2022-04-15 10:59:08.805000+00:00,PALANTIR EXPANDS LONGSTANDING CDC PARTNERSHIP FOR DISEASE MONITORING AND RESPONSE,urn:newsml:reuters.com:20220415:nFWN2WC1NE:1,NS:RTRS
2022-04-15 10:59:00.068,2022-04-15 10:59:00.068000+00:00,Palantir Expands Longstanding CDC Partnership for Disease Monitoring and Response,urn:newsml:reuters.com:20220415:nBw4hmTcRa:1,NS:BSW
2022-04-14 19:50:26.287,2022-04-14 19:50:26.287000+00:00,NYSE ORDER IMBALANCE <PLTR.N> 797091.0 SHARES ON BUY SIDE,urn:newsml:reuters.com:20220414:nAQN0UR8PR:1,NS:RTRS
2022-04-14 11:12:44.000,2022-04-14 11:12:44+00:00,BRIEF-Palantir To Unveil New Products In Apollo,urn:newsml:reuters.com:20220414:nFWN2WC0G5:1,NS:RTRS
2022-04-14 10:59:04.081,2022-04-14 10:59:04.081000+00:00,PALANTIR TO UNVEIL NEW PRODUCTS IN APOLLO,urn:newsml:reuters.com:20220414:nFWN2WC0G5:1,NS:RTRS
2022-04-14 10:59:00.105,2022-04-14 10:59:00.105000+00:00,Palantir to Unveil New Products in Apollo,urn:newsml:reuters.com:20220414:nBw1Rzt72a:1,NS:BSW
2022-04-13 19:50:07.503,2022-04-13 19:50:07.503000+00:00,NYSE ORDER IMBALANCE <PLTR.N> 1372446.0 SHARES ON SELL SIDE,urn:newsml:reuters.com:20220413:nAQN0UKTG4:1,NS:RTRS
2022-04-12 19:50:12.738,2022-04-12 19:50:12.738000+00:00,NYSE ORDER IMBALANCE <PLTR.N> 299450.0 SHARES ON SELL SIDE,urn:newsml:reuters.com:20220412:nAQN0UH1JJ:1,NS:RTRS
2022-04-11 11:32:06.590,2022-04-11 11:32:06.590000+00:00,PALANTIR TECHNOLOGIES<PLTR.N>: MONNESS CRESPI HARDT INITIATES COVERAGE WITH BUY RATING AND TARGET PRICE $20,urn:newsml:reuters.com:20220411:nFWN2W914B:1,NS:RTRS
2022-04-08 19:50:25.370,2022-04-08 19:50:25.370000+00:00,NYSE ORDER IMBALANCE <PLTR.N> 899800.0 SHARES ON SELL SIDE,urn:newsml:reuters.com:20220408:nAQN0UDE25:1,NS:RTRS
2022-04-08 05:01:05.195,2022-04-08 05:11:26.885000+00:00,Orascom Development Holding AG: publishes annual report and announces changes,urn:newsml:newsroom:20220408:nAWP6yDTJf:0,NS:AWP
