,versionCreated,text,storyId,sourceCode
2022-04-20 08:46:48.383,2022-04-20 08:46:48.383000+00:00,Musk könnte 15 Mrd. Dollar eigenes Geld in Twitter-Kauf investieren,urn:newsml:reuters.com:20220420:nApa1JH1Qa:1,NS:APA
2022-04-20 08:36:49.000,2022-04-20 08:36:49+00:00,Shanghai hofft auf Wende im Kampf gegen Corona-Pandemie,urn:newsml:reuters.com:20220420:nL5N2WI1U3:1,NS:RTRS
2022-04-20 08:28:14.422,2022-04-20 08:28:14.422000+00:00,AP Top Extended Financial Headlines at 4:27 a.m. EDT,urn:newsml:reuters.com:20220420:nNRAkeqnu6:1,NS:ASSOPR
2022-04-20 07:00:06.440,2022-04-20 08:09:26.060000+00:00,REG - Official List - Official List Notice,urn:newsml:newsroom:20220420:nRST6498Ia:0,NS:LSE
2022-04-20 07:00:06.439,2022-04-20 08:09:22.133000+00:00,REG - Stock Exch Notice - Admission to Trading - 20/04/2022,urn:newsml:newsroom:20220420:nRST6615Ia:0,NS:LSE
2022-04-20 07:52:43.000,2022-04-20 08:00:12+00:00,RPT-Coronavirus-Baisse des cas à Shanghaï en dehors des zones de quarantaine,urn:newsml:reuters.com:20220420:nL5N2WI1HA:2,NS:RTRS
2022-04-20 07:53:16.000,2022-04-20 07:53:16+00:00,HINTERGRUND-Statt Erdgas aus Russland  - Das Rennen um LNG,urn:newsml:reuters.com:20220420:nL5N2WH3ZY:1,NS:RTRS
2022-04-19 17:37:33.000,2022-04-20 07:33:04+00:00,UPDATE 3-Musk tweets cryptic phrase days after Twitter takeover offer,urn:newsml:reuters.com:20220419:nL3N2WH343:12,NS:RTRS
2022-04-20 07:32:43.791,2022-04-20 07:32:46.481000+00:00,Coronavirus: Shanghai assouplit à tâtons certaines restrictions,urn:newsml:newsroom:20220420:nAWP4kJHGf:0,NS:AWP
2022-04-20 07:30:51.000,2022-04-20 07:30:51+00:00,MORNING BID-More of the same,urn:newsml:reuters.com:20220420:nL5N2WI1GR:1,NS:RTRS
2022-04-20 07:09:53.000,2022-04-20 07:09:53+00:00,UPDATE 1-Shanghai hopes COVID tide turning as cases dwindle outside quarantined areas,urn:newsml:reuters.com:20220420:nL2N2WI0B2:4,NS:RTRS
2022-04-20 06:38:30.000,2022-04-20 06:38:30+00:00,MORNING BID-More of the same,urn:newsml:reuters.com:20220420:nL5N2WI183:1,NS:RTRS
